problem_id,problem_type,selected_candidate_id,full_candidate_id,challenger_candidate_id,overridden,override_reason,full_structure_score,challenger_structure_score,full_constraint_coverage,challenger_constraint_coverage,full_objective_term_coverage,challenger_objective_term_coverage,full_objective_consensus_score,challenger_objective_consensus_score,full_critical_missing_structures,challenger_critical_missing_structures,posthoc_selected_objective_correct,posthoc_note
single_period_newsvendor_0010,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0011,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k6,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0012,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.0,,0.0,,1.0,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0013,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.0,,0.0,,1.0,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0014,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k3,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0015,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.0,,0.0,,1.0,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0016,single_period_newsvendor,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k0,False,override_evidence_insufficient,0.8611111111111112,0.8333333333333334,1.0,1.0,0.3333333333333333,0.6666666666666666,0.125,0.625,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0017,single_period_newsvendor,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,False,override_evidence_insufficient,0.43333333333333335,0.43333333333333335,0.4444444444444444,0.4444444444444444,0.0,0.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0018,single_period_newsvendor,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k1,False,override_evidence_insufficient,0.8611111111111112,0.8333333333333334,1.0,1.0,0.3333333333333333,0.6666666666666666,0.75,0.75,,,1.0,posthoc_objective_correct is diagnostic-only
single_period_newsvendor_0019,single_period_newsvendor,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0000,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k3,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0001,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k7,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0002,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k5,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0003,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k4,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0004,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k5,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0005,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k4,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0006,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k7,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0007,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k1,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0008,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k1,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0009,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k1,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.75,0.75,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0010,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k3,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0011,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k5,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0012,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k7,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0013,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k7,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0014,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k2,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0015,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0016,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k7,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0017,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0018,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k4,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_0019,single_item_multi_period,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k4,False,override_evidence_insufficient,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0000,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k4,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0001,single_item_multi_period_shortage,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.75,0.75,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0002,single_item_multi_period_shortage,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k1,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0003,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k7,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0004,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k5,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.75,0.75,,,0.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0005,single_item_multi_period_shortage,Qwen3-8B_k7,Qwen3-8B_k7,Qwen3-8B_k7,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0006,single_item_multi_period_shortage,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0007,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k7,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.75,0.75,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0008,single_item_multi_period_shortage,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k3,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0009,single_item_multi_period_shortage,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.375,0.375,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0010,single_item_multi_period_shortage,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k1,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0011,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k3,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0012,single_item_multi_period_shortage,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k7,False,override_evidence_insufficient,0.8444444444444444,0.8444444444444444,1.0,1.0,1.0,1.0,0.75,0.75,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0013,single_item_multi_period_shortage,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k6,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0014,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.75,0.75,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0015,single_item_multi_period_shortage,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k5,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0016,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k3,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0017,single_item_multi_period_shortage,Qwen3-8B_k0,Qwen3-8B_k0,Qwen3-8B_k0,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0018,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k4,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
single_item_multi_period_shortage_0019,single_item_multi_period_shortage,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k3,False,override_evidence_insufficient,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,0.5,0.5,,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0000,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.8125,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0001,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.8125,0.8125,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0002,multi_item_capacity,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.71875,,0.875,,1.0,,0.8571428571428571,,capacity_constraint,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0003,multi_item_capacity,Qwen3-8B_k4,Qwen3-8B_k4,,False,no_viable_challenger,0.875,,1.0,,1.0,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0004,multi_item_capacity,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0005,multi_item_capacity,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.71875,,0.875,,1.0,,0.0,,capacity_constraint,,0.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0006,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.8125,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0007,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,,False,no_viable_challenger,0.8125,,1.0,,1.0,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0008,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.8125,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0009,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k5,False,override_evidence_insufficient,0.8125,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0010,multi_item_capacity,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k7,False,override_evidence_insufficient,0.84375,0.8125,1.0,1.0,1.0,1.0,0.16666666666666666,0.8333333333333334,,,0.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0011,multi_item_capacity,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.71875,,0.875,,1.0,,1.0,,capacity_constraint,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0012,multi_item_capacity,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.71875,,0.875,,1.0,,0.0,,capacity_constraint,,0.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0013,multi_item_capacity,Qwen3-8B_k5,Qwen3-8B_k5,,False,no_viable_challenger,0.8125,,1.0,,1.0,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0014,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.85625,0.85625,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0015,multi_item_capacity,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.71875,,0.875,,1.0,,1.0,,capacity_constraint,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0016,multi_item_capacity,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.71875,,0.875,,1.0,,0.0,,capacity_constraint,,0.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0017,multi_item_capacity,Qwen3-8B_k2,Qwen3-8B_k2,,False,no_viable_challenger,0.71875,,0.875,,1.0,,1.0,,capacity_constraint,,1.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0018,multi_item_capacity,Qwen3-8B_k0,Qwen3-8B_k0,,False,no_viable_challenger,0.71875,,0.875,,1.0,,0.0,,capacity_constraint,,0.0,posthoc_objective_correct is diagnostic-only
multi_item_capacity_0019,multi_item_capacity,Qwen3-8B_k3,Qwen3-8B_k3,,False,no_viable_challenger,0.8125,,1.0,,1.0,,0.0,,,,0.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0000,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0001,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.86,0.86,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0002,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0003,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k7,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0004,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0005,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0006,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k6,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0007,fixed_order_cost_big_m,Qwen3-8B_k4,Qwen3-8B_k4,Qwen3-8B_k4,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0008,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.835,0.835,1.0,1.0,1.0,1.0,0.5,0.5,,,0.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0009,fixed_order_cost_big_m,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,False,override_evidence_insufficient,0.86,0.86,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0010,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0011,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k7,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0012,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k3,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0013,fixed_order_cost_big_m,Qwen3-8B_k3,Qwen3-8B_k3,Qwen3-8B_k3,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0014,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k3,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,0.875,0.875,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0015,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k2,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0016,fixed_order_cost_big_m,Qwen3-8B_k6,Qwen3-8B_k6,Qwen3-8B_k6,False,override_evidence_insufficient,0.86,0.86,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0017,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0018,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k5,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
fixed_order_cost_big_m_0019,fixed_order_cost_big_m,Qwen3-8B_k1,Qwen3-8B_k1,Qwen3-8B_k1,False,override_evidence_insufficient,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,posthoc_objective_correct is diagnostic-only
