method,problem_type,n,oracle_at_k,selector_accuracy,selector_gap_to_oracle,candidate_pool_limited,diagnostic_note,posthoc_only
ReplenishVerifier-TypeAware,multi_item_capacity,20,0.6,0.6,0.0,True,"candidate-pool limitation: oracle@k is low, so failures are bounded by candidate generation/repair quality rather than selector choice alone",True
ReplenishVerifier-TypeAware,single_item_multi_period,20,1.0,1.0,0.0,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
ReplenishVerifier-TypeAware,single_item_multi_period_shortage,20,1.0,0.95,0.050000000000000044,False,"selector limitation: oracle@k is available above selector accuracy, so no-reference ranking should be inspected",True
ReplenishVerifier-TypeAware,single_period_newsvendor,20,0.7,0.65,0.04999999999999993,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
ReplenishVerifier-TypeAware-Consensus,fixed_order_cost_big_m,20,1.0,1.0,0.0,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
ReplenishVerifier-TypeAware-Consensus,multi_item_capacity,20,0.6,0.6,0.0,True,"candidate-pool limitation: oracle@k is low, so failures are bounded by candidate generation/repair quality rather than selector choice alone",True
ReplenishVerifier-TypeAware-Consensus,single_item_multi_period,20,1.0,1.0,0.0,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
ReplenishVerifier-TypeAware-Consensus,single_item_multi_period_shortage,20,1.0,0.95,0.050000000000000044,False,"selector limitation: oracle@k is available above selector accuracy, so no-reference ranking should be inspected",True
ReplenishVerifier-TypeAware-Consensus,single_period_newsvendor,20,0.7,0.7,0.0,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
Solver only,fixed_order_cost_big_m,20,1.0,0.95,0.050000000000000044,False,"selector limitation: oracle@k is available above selector accuracy, so no-reference ranking should be inspected",True
Solver only,multi_item_capacity,20,0.6,0.5,0.09999999999999998,True,"candidate-pool limitation: oracle@k is low, so failures are bounded by candidate generation/repair quality rather than selector choice alone",True
Solver only,single_item_multi_period,20,1.0,0.95,0.050000000000000044,False,"selector limitation: oracle@k is available above selector accuracy, so no-reference ranking should be inspected",True
Solver only,single_item_multi_period_shortage,20,1.0,0.85,0.15000000000000002,False,"selector limitation: oracle@k is available above selector accuracy, so no-reference ranking should be inspected",True
Solver only,single_period_newsvendor,20,0.7,0.65,0.04999999999999993,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
Structure only,fixed_order_cost_big_m,20,1.0,1.0,0.0,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
Structure only,multi_item_capacity,20,0.6,0.55,0.04999999999999993,True,"candidate-pool limitation: oracle@k is low, so failures are bounded by candidate generation/repair quality rather than selector choice alone",True
Structure only,single_item_multi_period,20,1.0,1.0,0.0,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
Structure only,single_item_multi_period_shortage,20,1.0,0.85,0.15000000000000002,False,"selector limitation: oracle@k is available above selector accuracy, so no-reference ranking should be inspected",True
Structure only,single_period_newsvendor,20,0.7,0.7,0.0,False,selector is near the post-hoc oracle@k ceiling for this problem type,True
