target_method,baseline_method,problem_id,target_candidate_id,baseline_candidate_id,target_objective_correct_posthoc_only,baseline_objective_correct_posthoc_only,objective_delta_posthoc_only,target_selector_family,target_method_vote_count,target_consensus_score,baseline_consensus_score,target_critical_missing_count,baseline_critical_missing_count,target_structure,baseline_structure,target_constraint_coverage,baseline_constraint_coverage,posthoc_only
ReplenishVerifier-HybridSafe,Best-of-K,single_item_multi_period_shortage_0001,Qwen3-8B_k7,Qwen3-8B_k6,1.0,0.0,1.0,hybrid_safe,4.0,0.75,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_item_multi_period_shortage_0014,Qwen3-8B_k1,Qwen3-8B_k4,1.0,0.0,1.0,hybrid_safe,4.0,0.75,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_item_multi_period_shortage_0019,Qwen3-8B_k1,Qwen3-8B_k7,1.0,0.0,1.0,hybrid_safe,4.0,0.5,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_period_newsvendor_0003,Qwen3-8B_k6,Qwen3-8B_k0,0.0,0.0,0.0,hybrid_safe,2.0,0.0,,0.0,,0.5555555555555556,,0.6666666666666666,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_period_newsvendor_0007,Qwen3-8B_k5,Qwen3-8B_k4,1.0,1.0,0.0,hybrid_safe,4.0,1.0,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_period_newsvendor_0012,Qwen3-8B_k7,Qwen3-8B_k0,0.0,0.0,0.0,hybrid_safe,1.0,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_period_newsvendor_0013,Qwen3-8B_k1,Qwen3-8B_k0,0.0,0.0,0.0,hybrid_safe,1.0,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_period_newsvendor_0015,Qwen3-8B_k1,Qwen3-8B_k0,0.0,0.0,0.0,hybrid_safe,1.0,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_period_newsvendor_0016,Qwen3-8B_k3,Qwen3-8B_k7,0.0,1.0,-1.0,hybrid_safe,4.0,0.625,,0.0,,0.8333333333333334,,1.0,,True
ReplenishVerifier-HybridSafe,Best-of-K,single_period_newsvendor_0018,Qwen3-8B_k6,Qwen3-8B_k7,1.0,1.0,0.0,hybrid_safe,4.0,0.75,,0.0,,0.8333333333333334,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,fixed_order_cost_big_m_0012,Qwen3-8B_k3,Qwen3-8B_k4,1.0,1.0,0.0,consensus_safe_v2,,1.0,,0.0,,0.875,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,fixed_order_cost_big_m_0017,Qwen3-8B_k5,Qwen3-8B_k0,1.0,1.0,0.0,consensus_safe_v2,,1.0,,0.0,,0.875,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,multi_item_capacity_0003,Qwen3-8B_k5,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,0.0,,0.875,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,multi_item_capacity_0007,Qwen3-8B_k3,Qwen3-8B_k2,0.0,0.0,0.0,consensus_safe_v2,,0.0,,0.0,,0.8125,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,multi_item_capacity_0010,Qwen3-8B_k6,Qwen3-8B_k1,1.0,0.0,1.0,consensus_safe_v2,,0.8333333333333334,,0.0,,0.8125,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,multi_item_capacity_0012,Qwen3-8B_k2,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,1.0,,0.71875,,0.875,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,multi_item_capacity_0013,Qwen3-8B_k5,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,0.0,,0.8125,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,multi_item_capacity_0016,Qwen3-8B_k3,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,1.0,,0.71875,,0.875,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,multi_item_capacity_0019,Qwen3-8B_k3,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,0.0,,0.8125,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_item_multi_period_0013,Qwen3-8B_k3,Qwen3-8B_k4,1.0,0.0,1.0,consensus_safe_v2,,0.875,,0.0,,0.8571428571428571,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_item_multi_period_shortage_0001,Qwen3-8B_k7,Qwen3-8B_k6,1.0,0.0,1.0,consensus_safe_v2,,0.75,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_item_multi_period_shortage_0014,Qwen3-8B_k1,Qwen3-8B_k4,1.0,0.0,1.0,consensus_safe_v2,,0.75,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_item_multi_period_shortage_0019,Qwen3-8B_k1,Qwen3-8B_k7,1.0,0.0,1.0,consensus_safe_v2,,0.5,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_period_newsvendor_0003,Qwen3-8B_k6,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,0.0,,0.5555555555555556,,0.6666666666666666,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_period_newsvendor_0007,Qwen3-8B_k5,Qwen3-8B_k4,1.0,1.0,0.0,consensus_safe_v2,,1.0,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_period_newsvendor_0012,Qwen3-8B_k7,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_period_newsvendor_0013,Qwen3-8B_k1,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_period_newsvendor_0015,Qwen3-8B_k1,Qwen3-8B_k0,0.0,0.0,0.0,consensus_safe_v2,,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_period_newsvendor_0016,Qwen3-8B_k3,Qwen3-8B_k7,0.0,1.0,-1.0,consensus_safe_v2,,0.625,,0.0,,0.8333333333333334,,1.0,,True
ReplenishVerifier-ConsensusSafe,Best-of-K,single_period_newsvendor_0018,Qwen3-8B_k6,Qwen3-8B_k7,1.0,1.0,0.0,consensus_safe_v2,,0.75,,0.0,,0.8333333333333334,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,fixed_order_cost_big_m_0012,Qwen3-8B_k3,Qwen3-8B_k4,1.0,1.0,0.0,type_aware_consensus,,1.0,,0.0,,0.875,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,fixed_order_cost_big_m_0017,Qwen3-8B_k5,Qwen3-8B_k0,1.0,1.0,0.0,type_aware_consensus,,1.0,,0.0,,0.875,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,multi_item_capacity_0003,Qwen3-8B_k5,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,0.0,,0.875,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,multi_item_capacity_0007,Qwen3-8B_k3,Qwen3-8B_k2,0.0,0.0,0.0,type_aware_consensus,,0.0,,0.0,,0.8125,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,multi_item_capacity_0010,Qwen3-8B_k6,Qwen3-8B_k1,1.0,0.0,1.0,type_aware_consensus,,0.8333333333333334,,0.0,,0.8125,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,multi_item_capacity_0012,Qwen3-8B_k2,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,1.0,,0.71875,,0.875,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,multi_item_capacity_0013,Qwen3-8B_k5,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,0.0,,0.8125,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,multi_item_capacity_0016,Qwen3-8B_k3,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,1.0,,0.71875,,0.875,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,multi_item_capacity_0019,Qwen3-8B_k3,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,0.0,,0.8125,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_item_multi_period_0013,Qwen3-8B_k3,Qwen3-8B_k4,1.0,0.0,1.0,type_aware_consensus,,0.875,,0.0,,0.8571428571428571,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_item_multi_period_shortage_0001,Qwen3-8B_k7,Qwen3-8B_k6,1.0,0.0,1.0,type_aware_consensus,,0.75,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_item_multi_period_shortage_0014,Qwen3-8B_k1,Qwen3-8B_k4,1.0,0.0,1.0,type_aware_consensus,,0.75,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_item_multi_period_shortage_0019,Qwen3-8B_k1,Qwen3-8B_k7,1.0,0.0,1.0,type_aware_consensus,,0.5,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_period_newsvendor_0003,Qwen3-8B_k6,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,0.0,,0.5555555555555556,,0.6666666666666666,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_period_newsvendor_0007,Qwen3-8B_k5,Qwen3-8B_k4,1.0,1.0,0.0,type_aware_consensus,,1.0,,0.0,,0.8611111111111112,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_period_newsvendor_0012,Qwen3-8B_k7,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_period_newsvendor_0013,Qwen3-8B_k1,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_period_newsvendor_0015,Qwen3-8B_k1,Qwen3-8B_k0,0.0,0.0,0.0,type_aware_consensus,,0.0,,0.0,,0.0,,0.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_period_newsvendor_0016,Qwen3-8B_k3,Qwen3-8B_k7,0.0,1.0,-1.0,type_aware_consensus,,0.625,,0.0,,0.8333333333333334,,1.0,,True
ReplenishVerifier-TypeAware-Consensus,Best-of-K,single_period_newsvendor_0018,Qwen3-8B_k6,Qwen3-8B_k7,1.0,1.0,0.0,type_aware_consensus,,0.75,,0.0,,0.8333333333333334,,1.0,,True
